Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-26,RBLBANK,EQ,248.95,238.4,241.85,234.2,235.45,235.6,237.54,22815361.0,541955350190000.0,141660.0,5095302.0,0.2233
2021-03-01,RBLBANK,EQ,235.6,239.0,239.7,232.05,236.3,236.05,236.04,14473106.0,341620068475000.0,81248.0,1555268.0,0.1075
